hhid,mobile_money,bank_account,vsla_account,sacco_account,online_bank_account,no_account,weight,district,hh_location,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco_1,mm_account_telco_2,mm_account_telco_3,mm_account_telco_main,undrstd_terms_nd_cond,agent_trust,taken_mm_loan,ntwrk_unavailable_mm_txn,clear_about_txn_fees,txn_ever_failed,agent_ever_not_had_enough_cash,have_copy_of_terms_nd_cond,undrstd_hw_nd_whr_to_complain,had_issue_reslvd_after_complaint,understand_data_mm_providers_collect,been_victim_of_fraud
1069,TRUE,NA,TRUE,NA,NA,NA,528.83,District_C,Rural,male,23,4,secondary 2,no,yes,no,Company_B,,,,no,,,no,yes,no,yes,no,no,,no,no
1070,NA,NA,NA,NA,NA,TRUE,264.95,District_B,Rural,female,28,4,primary 4,no,yes,no,,,,,,,,,,,,,,,,
1071,NA,NA,NA,NA,NA,TRUE,491.01,District_B,Rural,female,38,6,,no,yes,,,,,,,,,,,,,,,,,
1072,NA,NA,TRUE,TRUE,NA,NA,331.9,District_C,Rural,male,65,5,,no,yes,no,,,,,,,,,,,,,,,,
1073,NA,NA,TRUE,TRUE,NA,NA,255.38,District_B,Rural,male,29,4,primary 1,yes,yes,,,,,,,,,yes,yes,no,no,no,yes,,no,no
1074,TRUE,NA,NA,NA,NA,NA,265.27,District_A,Rural,male,32,3,tvet,no,yes,no,Company_B,,,,yes,no,no,no,yes,no,no,no,yes,,yes,no
1075,TRUE,TRUE,TRUE,NA,NA,NA,213.88,District_A,Urban,male,43,1,secondary 3,no,yes,yes,Company_A,,,,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no
1076,TRUE,NA,NA,NA,NA,NA,214.49,District_C,Rural,male,43,6,primary 6,no,yes,no,Company_B,,,,no,no,,no,no,no,yes,no,yes,,no,no
1077,TRUE,NA,TRUE,TRUE,NA,NA,176.63,District_A,Rural,female,31,4,primary 2,no,yes,no,Company_B,Company_C,,Company_C,yes,,,no,yes,no,no,no,yes,,no,no
1078,NA,NA,NA,TRUE,NA,NA,493.99,District_B,Rural,female,46,6,primary 3,yes,,yes,,,,,,,,,,,,,,,,
1079,TRUE,TRUE,TRUE,NA,NA,NA,158.8,District_B,Rural,female,26,3,secondary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,no,yes,no,no,no,yes,,no,no
1080,TRUE,NA,NA,NA,NA,NA,249.18,District_B,Rural,female,26,5,secondary 6,no,yes,no,Company_B,,,,no,,,no,no,no,no,no,no,,no,no
1081,TRUE,NA,TRUE,TRUE,NA,NA,337.16,District_C,Rural,male,27,3,secondary 6,no,yes,no,Company_B,,,,yes,yes,,yes,yes,no,yes,no,yes,yes,yes,yes
1082,TRUE,NA,TRUE,NA,NA,NA,229.9,District_A,Rural,male,32,7,secondary 4,no,yes,no,Company_A,,,,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no
1083,TRUE,NA,TRUE,NA,NA,NA,357.36,District_A,Urban,male,19,4,secondary 5,no,yes,no,Company_A,,,,no,,no,yes,yes,yes,yes,no,yes,yes,yes,no
1084,NA,NA,TRUE,NA,NA,NA,198.33,District_B,Rural,female,26,2,primary 2,yes,yes,no,,,,,,no,,yes,yes,no,no,no,no,,no,no
1085,NA,NA,TRUE,TRUE,NA,NA,352.04,District_B,Rural,male,50,8,primary 6,yes,yes,no,,,,,,,,no,yes,yes,no,no,yes,,no,no
1086,TRUE,TRUE,NA,NA,NA,NA,541.13,District_C,Rural,male,47,5,primary 6,no,yes,no,Company_B,,,,no,,,no,no,no,no,no,yes,,no,no
1087,TRUE,TRUE,NA,NA,NA,NA,176.63,District_A,Rural,male,38,5,primary 6,no,yes,no,Company_A,Company_B,,Company_B,no,yes,,yes,no,no,yes,no,no,,no,yes
1088,TRUE,NA,NA,TRUE,NA,NA,231.95,District_B,Rural,female,38,3,primary 3,no,yes,no,Company_A,Company_B,,Company_A,,no,,no,no,no,no,no,no,,no,no
1089,TRUE,NA,NA,NA,NA,NA,190.22,District_B,Rural,female,60,7,primary 2,no,yes,no,Company_C,,,,,,,no,yes,no,yes,no,yes,,no,no
1090,TRUE,NA,NA,NA,NA,NA,215.62,District_B,Rural,male,18,7,primary 6,no,yes,no,Company_B,,,,yes,no,no,no,no,no,no,no,yes,,no,no
1091,TRUE,NA,TRUE,NA,NA,NA,283.23,District_A,Urban,female,43,4,primary 3,no,yes,no,Company_A,,,,yes,no,,no,yes,no,no,no,yes,,no,no
1092,TRUE,NA,NA,TRUE,NA,NA,457.41,District_C,Rural,female,27,5,primary 6,no,yes,no,Company_B,,,,yes,no,,no,no,no,yes,no,no,,yes,no
1093,TRUE,TRUE,TRUE,TRUE,NA,NA,267.32,District_C,Rural,female,30,4,primary 5,no,yes,no,Company_B,,,,yes,,,,,,,,,,,
1094,TRUE,TRUE,TRUE,NA,NA,NA,183.92,District_A,Rural,male,32,8,secondary 6,no,yes,yes,Company_A,Company_B,,Company_A,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes
1095,TRUE,NA,NA,TRUE,NA,NA,377.37,District_A,Urban,female,29,5,secondary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,yes,no,no,yes,,yes,no
1096,NA,NA,NA,NA,NA,TRUE,427.75,District_A,Urban,female,25,4,primary 4,yes,yes,no,,,,,,no,,yes,yes,no,yes,no,yes,,no,no
1097,TRUE,NA,TRUE,TRUE,NA,NA,213.21,District_C,Rural,female,62,3,primary 4,no,yes,no,Company_A,,,,yes,no,,no,yes,no,no,no,no,,no,no
1098,TRUE,TRUE,NA,NA,NA,NA,582.2,District_B,Rural,male,29,6,secondary 6,no,no,yes,Company_A,Company_B,,Company_B,yes,,,yes,no,yes,yes,no,no,yes,yes,no
1099,TRUE,NA,TRUE,TRUE,NA,NA,524.68,District_A,Rural,male,54,8,primary 4,no,yes,no,Company_A,Company_B,,Company_A,no,no,,no,no,yes,yes,no,yes,yes,no,no
1100,TRUE,TRUE,TRUE,NA,NA,NA,140.65,District_A,Rural,male,39,4,other,no,yes,no,Company_A,,,,yes,yes,,yes,yes,yes,yes,no,yes,yes,yes,yes
1101,TRUE,NA,TRUE,TRUE,NA,NA,319.96,District_C,Rural,female,59,3,secondary 3,no,yes,no,Company_A,,,,yes,no,,yes,yes,no,no,no,no,,no,no
1102,TRUE,NA,TRUE,TRUE,NA,NA,133.37,District_A,Rural,female,37,4,primary 6,no,yes,no,Company_A,Company_B,,Company_B,yes,,,no,no,no,yes,no,yes,,no,no
1103,TRUE,NA,NA,NA,NA,NA,574.96,District_C,Rural,male,24,4,secondary 2,no,yes,yes,Company_B,,,,yes,yes,,yes,yes,no,yes,no,no,,no,no
1104,TRUE,TRUE,NA,NA,NA,NA,458.39,District_B,Rural,female,19,9,secondary 6,no,yes,no,Company_B,,,,yes,no,,no,yes,no,yes,no,no,,no,no
1105,NA,NA,NA,NA,NA,TRUE,640.11,District_C,Rural,female,68,5,primary 6,yes,yes,no,,,,,,no,,yes,yes,no,no,no,no,,no,no
1106,TRUE,NA,NA,TRUE,NA,NA,224.37,District_B,Rural,female,38,8,primary 3,no,yes,no,Company_A,,,,no,no,,yes,no,yes,no,no,yes,,no,no
1107,NA,NA,NA,NA,NA,TRUE,886.25,District_A,Urban,female,22,6,secondary 6,yes,yes,no,,,,,,,,yes,yes,no,no,no,yes,yes,yes,no
1108,TRUE,NA,NA,TRUE,NA,NA,625.85,District_A,Urban,female,36,6,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,no,yes,no,no,,no,no
1109,TRUE,TRUE,TRUE,TRUE,NA,NA,625.85,District_A,Urban,male,29,2,university,no,yes,no,Company_A,Company_B,,Company_A,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no
1110,NA,NA,TRUE,TRUE,NA,NA,185.89,District_B,Rural,female,45,4,,yes,yes,yes,,,,,,,,no,yes,no,no,no,no,,no,no
1111,TRUE,NA,NA,NA,NA,NA,176.63,District_A,Rural,male,32,3,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,no,yes,no,yes,no,yes,,no,no
1112,TRUE,NA,TRUE,TRUE,NA,NA,933.9,District_B,Rural,male,38,4,primary 6,no,yes,no,Company_A,,,,,yes,no,no,no,no,no,no,no,no,no,no
1113,TRUE,NA,NA,NA,NA,NA,433.18,District_B,Rural,male,25,3,primary 6,no,yes,no,Company_A,Company_B,,Company_B,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no
1114,TRUE,TRUE,TRUE,NA,NA,NA,129.62,District_A,Rural,male,26,6,secondary 6,no,yes,no,Company_A,Company_B,Company_C,Company_B,yes,yes,,no,no,no,no,no,no,,yes,no
1115,TRUE,NA,TRUE,NA,NA,NA,79.14,District_B,Rural,male,30,4,primary 3,no,yes,no,Company_A,,,,yes,yes,,yes,yes,yes,yes,no,no,,no,no
1116,TRUE,TRUE,TRUE,TRUE,NA,NA,151.52,District_C,Rural,female,40,6,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
1117,TRUE,NA,NA,NA,NA,NA,543.09,District_B,Rural,male,22,7,primary 5,no,yes,no,Company_A,,,,no,,,no,yes,no,no,no,yes,,no,no
1118,TRUE,TRUE,TRUE,NA,NA,NA,213.88,District_A,Urban,female,39,3,secondary 1,no,yes,no,Company_A,Company_B,,Company_B,yes,no,,yes,yes,no,no,no,yes,yes,no,no
1119,TRUE,TRUE,NA,TRUE,TRUE,NA,385.68,District_A,Urban,male,32,5,secondary 3,no,,no,Company_A,Company_B,,Company_A,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no
1120,TRUE,NA,TRUE,NA,NA,NA,268.16,District_B,Rural,female,38,7,primary 2,no,yes,no,Company_A,Company_B,,Company_B,yes,no,,yes,yes,yes,yes,no,no,,no,no
1121,NA,NA,NA,TRUE,NA,NA,240.44,District_C,Rural,female,35,5,,yes,yes,no,,,,,,,,no,yes,no,yes,no,no,,no,no
1122,NA,NA,TRUE,TRUE,NA,NA,755.77,District_B,Rural,female,66,2,,yes,yes,no,,,,,,no,,no,no,no,,,yes,,no,no
1123,NA,NA,NA,NA,NA,TRUE,133.37,District_A,Rural,female,43,7,primary 2,no,yes,no,,,,,,,,,,,,,,,,
1124,TRUE,TRUE,TRUE,NA,NA,NA,155.75,District_A,Urban,female,29,4,primary 6,no,yes,no,Company_A,Company_B,,Company_A,,no,,yes,no,no,yes,no,yes,yes,no,no
1125,TRUE,TRUE,TRUE,TRUE,NA,NA,471.62,District_C,Rural,male,48,5,primary 6,no,yes,no,Company_A,Company_B,,Company_B,yes,no,yes,yes,yes,no,yes,no,yes,,no,no
1126,TRUE,NA,NA,NA,NA,NA,139.46,District_C,Rural,female,26,2,primary 5,no,yes,no,Company_B,,,,yes,no,no,no,yes,no,no,no,no,,no,no
1127,TRUE,NA,TRUE,TRUE,NA,NA,191.77,District_C,Rural,male,42,5,primary 5,no,yes,no,Company_B,,,,yes,no,,no,yes,no,no,no,yes,yes,no,no
1128,NA,NA,TRUE,TRUE,NA,NA,"2,143.41",District_B,Rural,female,40,5,primary 1,no,yes,no,,,,,,,,,,,,,,,,
1129,NA,NA,NA,NA,NA,TRUE,152.92,District_C,Rural,female,52,2,,yes,yes,no,,,,,,no,,no,yes,no,no,no,yes,,yes,no
1130,NA,NA,TRUE,TRUE,NA,NA,214.49,District_C,Rural,male,23,2,primary 3,no,yes,no,,,,,,,,,,,,,,,,
1131,TRUE,NA,TRUE,NA,NA,NA,136.87,District_B,Rural,female,23,3,primary 4,no,yes,no,Company_B,,,,no,no,,yes,yes,no,yes,no,no,,no,no
1132,TRUE,TRUE,TRUE,NA,NA,NA,406.14,District_B,Rural,female,28,2,university,no,yes,no,Company_A,Company_B,,Company_A,yes,no,,yes,yes,yes,yes,no,yes,,no,no
1133,TRUE,NA,TRUE,TRUE,NA,NA,152.8,District_B,Rural,male,25,3,secondary 4,no,yes,no,Company_A,Company_C,,Company_A,yes,yes,,yes,no,yes,yes,no,no,,yes,no
1134,NA,NA,TRUE,NA,NA,NA,"1,780.51",District_B,Rural,female,42,7,primary 4,yes,yes,no,,,,,,,,no,yes,yes,no,,yes,,yes,no
1135,NA,NA,TRUE,TRUE,NA,NA,232.77,District_B,Rural,male,23,5,primary 5,yes,yes,no,,,,,,no,,no,yes,no,no,no,yes,,no,no
1136,TRUE,NA,TRUE,NA,NA,NA,178.77,District_B,Rural,male,28,4,secondary 6,no,yes,no,Company_B,,,,yes,,,no,yes,no,no,no,yes,yes,no,no
1137,NA,NA,NA,NA,NA,TRUE,"1,110.01",District_C,Rural,female,50,3,primary 6,no,yes,no,,,,,,,,,,,,,,,,
1138,TRUE,NA,TRUE,TRUE,NA,NA,172.02,District_C,Rural,female,38,5,primary 6,no,yes,no,Company_B,,,,yes,,,no,no,no,no,no,no,,no,no
1139,NA,NA,NA,NA,NA,TRUE,"1,136.20",District_B,Rural,female,88,2,,no,yes,,,,,,,,,,,,,,,,,
1140,TRUE,NA,TRUE,NA,NA,NA,190.22,District_B,Rural,male,34,4,primary 6,no,,no,Company_A,,,,yes,no,,yes,yes,yes,yes,no,yes,,no,no
1141,TRUE,TRUE,TRUE,NA,NA,NA,556.02,District_C,Rural,male,31,3,primary 5,no,yes,no,Company_B,,,,yes,no,no,yes,yes,yes,no,no,yes,,no,no
1142,TRUE,TRUE,TRUE,TRUE,NA,NA,108.19,District_A,Urban,female,42,4,primary 6,no,yes,no,Company_A,Company_B,,Company_A,yes,no,no,yes,yes,yes,yes,no,no,,no,no
1143,TRUE,TRUE,NA,NA,NA,NA,216.98,District_A,Rural,male,38,7,primary 6,no,yes,no,Company_A,,,,yes,no,,yes,yes,yes,yes,no,yes,,no,no
1144,NA,NA,TRUE,NA,NA,NA,455.25,District_B,Rural,female,35,6,,yes,yes,no,,,,,,,,no,no,no,,no,no,,no,no
1145,TRUE,NA,TRUE,NA,NA,NA,878.55,District_B,Rural,female,24,7,primary 2,no,yes,no,Company_B,,,,yes,no,no,no,yes,no,no,no,yes,,no,no
1146,TRUE,NA,NA,NA,NA,NA,"1,265.12",District_B,Rural,female,18,8,primary 5,no,yes,no,Company_B,,,,yes,no,no,yes,yes,no,no,no,no,no,no,no
1147,NA,NA,TRUE,TRUE,NA,NA,195.45,District_B,Rural,female,31,4,primary 6,yes,yes,no,,,,,,no,,yes,yes,yes,no,no,no,,no,no
1148,TRUE,NA,TRUE,NA,NA,NA,419.68,District_B,Rural,male,19,3,secondary 1,no,yes,no,Company_A,,,,no,no,,no,no,no,yes,no,yes,,no,no
1149,TRUE,TRUE,TRUE,TRUE,NA,NA,85.55,District_A,Rural,female,42,3,,no,yes,no,Company_A,,,,,,,no,no,no,no,no,yes,,no,no
1150,TRUE,NA,NA,TRUE,NA,NA,196.75,District_B,Rural,female,20,3,secondary 3,no,yes,yes,Company_A,Company_C,,Company_C,no,no,,yes,no,yes,yes,no,no,,no,yes
1151,NA,NA,TRUE,TRUE,NA,NA,235.81,District_C,Rural,female,72,3,,yes,yes,no,,,,,,,,yes,yes,yes,,,no,,no,no
1152,TRUE,NA,TRUE,TRUE,NA,NA,317.59,District_B,Rural,male,39,6,primary 4,no,yes,no,Company_A,Company_B,,Company_A,yes,no,no,no,yes,no,yes,no,yes,,yes,no
1153,NA,NA,NA,NA,NA,TRUE,880.45,District_B,Rural,female,18,4,secondary 2,no,yes,no,,,,,,,,,,,,,,,,
